Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
609,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,1850,1700,03 May 2025
610,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,1850,1750,24 Jun 2025
611,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,2000,1800,11 Apr 2025
612,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,1900,1800,26 May 2025
613,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,2000,1800,10 May 2025
614,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,3000,2800,11 Sep 2024
615,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,3000,2800,24 Aug 2024
616,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,2900,2700,02 Oct 2024
617,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,3100,2850,09 Nov 2024
618,Dharwad,Hubli (Amaragol),Potato,Potato,Local,1800,1900,1850,23 Jul 2025
619,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,07 Feb 2025
620,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,08 May 2025
621,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,10 Feb 2025
622,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,11 Jan 2025
623,Kalburgi,Kalburgi,Potato,Potato,FAQ,1100,1300,1200,14 Oct 2024
624,Kalburgi,Kalburgi,Potato,Potato,Local,800,1200,1000,04 Jul 2025
625,Kalburgi,Kalburgi,Potato,Potato,Local,800,1400,1100,17 Jul 2025
626,Kolar,Kolar,Potato,Local,FAQ,1000,1400,1200,26 Mar 2025
627,Kolar,Kolar,Potato,Local,FAQ,1000,1500,1300,13 Mar 2025
628,Kolar,Kolar,Potato,Local,FAQ,1000,1800,1400,26 Feb 2025
629,Hassan,Arasikere,Potato,Local,FAQ,1000,7000,3000,19 Aug 2024
630,Hassan,Arasikere,Potato,Local,FAQ,2000,3000,2500,18 Jan 2025
631,Chikmagalur,Bagepalli,Potato,Potato,FAQ,1400,2600,2000,22 Aug 2024
632,Chikmagalur,Bagepalli,Potato,Potato,FAQ,1500,2500,2000,08 Sep 2024
633,Chikmagalur,Bagepalli,Potato,Potato,FAQ,1800,3000,2400,24 Oct 2024
634,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,3000,2600,04 Dec 2024
635,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2100,3000,2600,30 Sep 2024
636,Bangalore,Bangalore,Potato,Local,FAQ,1600,2600,2100,17 Aug 2024
637,Bangalore,Bangalore,Potato,Local,FAQ,1600,2800,2200,09 Jan 2025
638,Bangalore,Bangalore,Potato,Local,FAQ,1600,3200,2900,12 Sep 2024
639,Bangalore,Bangalore,Potato,Local,FAQ,2000,3000,2500,18 Jan 2025
640,Bangalore,Bangalore,Potato,Local,FAQ,2400,3200,2800,07 Jan 2025
641,Bangalore,Bangalore,Potato,Potato,FAQ,2000,3000,2500,18 Oct 2024
642,Bangalore,Bangalore,Potato,Potato,FAQ,2200,3000,2600,12 Aug 2024
643,Bangalore,Bangalore,Potato,Potato,FAQ,2200,3000,2600,13 Aug 2024
644,Bangalore,Bangalore,Potato,Potato,FAQ,2400,3000,2600,04 Nov 2024
645,Bangalore,Bangalore,Potato,Potato,FAQ,2400,3000,2600,07 Nov 2024
646,Bangalore,Bangalore,Potato,Potato,FAQ,2800,3200,3000,11 Sep 2024
647,Bangalore,Bangalore,Potato,Potato,FAQ,2800,3200,3000,18 Sep 2024
648,Kolar,Bangarpet,Potato,Local,FAQ,1500,2500,2000,28 Feb 2025
649,Kolar,Bangarpet,Potato,Local,FAQ,2000,3000,2500,07 Dec 2024
650,Belgaum,Belgaum,Potato,Local,FAQ,1000,2500,2000,04 Jan 2025
651,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,21 Dec 2024
652,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,21 Jan 2025
653,Belgaum,Belgaum,Potato,Local,FAQ,1500,2500,2000,31 Dec 2024
654,Belgaum,Belgaum,Potato,Local,FAQ,2500,3100,2800,05 Aug 2024
655,Belgaum,Belgaum,Potato,Local,FAQ,2500,3200,2800,29 Aug 2024
656,Belgaum,Belgaum,Potato,Local,FAQ,2500,3700,3500,06 Dec 2024
657,Belgaum,Belgaum,Potato,Local,FAQ,3000,4000,3500,05 Oct 2024
658,Belgaum,Belgaum,Potato,Local,FAQ,3000,4000,3500,08 Oct 2024
659,Belgaum,Belgaum,Potato,Local,Ref grade-1,1500,2300,2000,31 Jan 2025
660,Hassan,Channarayapatna,Potato,Local,FAQ,2000,2000,2000,04 Jun 2025
661,Hassan,Channarayapatna,Potato,Local,FAQ,2000,2000,2000,16 Apr 2025
662,Kolar,Chickkaballapura,Potato,Local,FAQ,300,1600,1400,15 Apr 2025
663,Kolar,Chickkaballapura,Potato,Local,FAQ,400,1600,1400,23 Mar 2025
664,Kolar,Chickkaballapura,Potato,Local,FAQ,500,1600,1500,23 Apr 2025
665,Kolar,Chickkaballapura,Potato,Local,FAQ,500,1800,1600,27 Apr 2025
666,Kolar,Chickkaballapura,Potato,Local,FAQ,500,2000,1800,17 May 2025
667,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2600,2000,29 Dec 2024
668,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2800,2400,04 Jan 2025
669,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2400,03 Jan 2025
670,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3800,2600,07 Dec 2024
671,Kolar,Chickkaballapura,Potato,Local,FAQ,2200,2600,2400,24 Jan 2025
672,Kolar,Chickkaballapura,Potato,Local,FAQ,2600,3600,3000,06 Dec 2024
673,Kolar,Chickkaballapura,Potato,Local,FAQ,2800,2900,2850,02 Oct 2024
674,Kolar,Chickkaballapura,Potato,Local,FAQ,2800,2900,2850,04 Oct 2024
675,Kolar,Chickkaballapura,Potato,Local,FAQ,3000,3200,3100,06 Oct 2024
676,Kolar,Chickkaballapura,Potato,Local,FAQ,3400,3800,3600,19 Oct 2024
677,Kolar,Chickkaballapura,Potato,Local,Local,500,2200,1800,11 Jul 2025
678,Kolar,Chickkaballapura,Potato,Local,Local,1800,2200,2000,28 Jul 2025
679,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1752,1952,1852,21 Apr 2025
680,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1961,2161,2061,26 May 2025
681,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1984,2184,2084,04 Jun 2025
682,Hassan,Arasikere,Potato,Local,FAQ,2000,2500,2500,01 Mar 2025
683,Hassan,Arasikere,Potato,Local,FAQ,2000,6000,2000,04 Jan 2025
684,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,3000,2200,20 Feb 2025
685,Chikmagalur,Bagepalli,Potato,Potato,FAQ,2000,3000,2400,12 Nov 2024
686,Chikmagalur,Bagepalli,Potato,Potato,Ref grade-1,2000,3200,2600,30 Jan 2025
687,Bangalore,Bangalore,Potato,Local,FAQ,1400,1800,1600,13 Feb 2025
688,Bangalore,Bangalore,Potato,Local,FAQ,1600,3000,2300,26 Sep 2024
689,Bangalore,Bangalore,Potato,Local,FAQ,2000,3000,2500,16 Jan 2025
690,Bangalore,Bangalore,Potato,Local,FAQ,2400,3000,2700,01 Jan 2025
691,Bangalore,Bangalore,Potato,Local,FAQ,2400,4000,3100,16 Dec 2024
692,Bangalore,Bangalore,Potato,Local,FAQ,3000,3600,3200,07 Aug 2024
693,Bangalore,Bangalore,Potato,Local,FAQ,3600,5000,4300,07 Dec 2024
694,Bangalore,Bangalore,Potato,Potato,FAQ,1400,1800,1700,21 Feb 2025
695,Bangalore,Bangalore,Potato,Potato,FAQ,1800,2100,2000,14 Feb 2025
696,Bangalore,Bangalore,Potato,Potato,FAQ,2200,3000,2600,09 Aug 2024
697,Bangalore,Bangalore,Potato,Potato,FAQ,2400,3200,3000,07 Aug 2024
698,Bangalore,Bangalore,Potato,Potato,FAQ,2600,3100,2700,10 Sep 2024
699,Bangalore,Bangalore,Potato,Potato,FAQ,2600,3200,2900,27 Aug 2024
700,Bangalore,Bangalore,Potato,Potato,FAQ,2800,3200,3000,19 Sep 2024
701,Bangalore,Bangalore,Potato,Potato,FAQ,2800,3200,3000,20 Sep 2024
702,Kolar,Bangarpet,Potato,Local,FAQ,1000,2000,1500,15 Feb 2025
703,Kolar,Bangarpet,Potato,Local,FAQ,1500,2500,2000,27 Feb 2025
704,Belgaum,Belgaum,Potato,Local,FAQ,1500,2200,1800,12 Feb 2025
705,Belgaum,Belgaum,Potato,Local,FAQ,2000,3500,3000,11 Dec 2024
706,Belgaum,Belgaum,Potato,Local,FAQ,2500,3100,2800,02 Aug 2024
707,Belgaum,Belgaum,Potato,Local,FAQ,2500,3200,2800,14 Oct 2024
708,Belgaum,Belgaum,Potato,Local,FAQ,2500,3400,3000,26 Aug 2024
709,Belgaum,Belgaum,Potato,Local,FAQ,2500,3600,3200,10 Oct 2024
710,Hassan,Channarayapatna,Potato,Local,FAQ,3000,3000,3000,10 Aug 2024
711,Hassan,Channarayapatna,Potato,Local,Local,2000,2000,2000,02 Jul 2025
712,Kolar,Chickkaballapura,Potato,Local,FAQ,500,1900,1700,17 Feb 2025
713,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2000,1800,11 Feb 2025
714,Kolar,Chickkaballapura,Potato,Local,FAQ,600,2600,2000,23 Dec 2024
715,Kolar,Chickkaballapura,Potato,Local,FAQ,600,3000,2500,12 Nov 2024
716,Kolar,Chickkaballapura,Potato,Local,FAQ,2400,2600,2500,29 Sep 2024
717,Kolar,Chickkaballapura,Potato,Local,FAQ,2600,2800,2700,21 Sep 2024
718,Kolar,Chickkaballapura,Potato,Local,FAQ,3400,3600,3500,08 Oct 2024
719,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,1598,1798,1698,11 Jun 2025
720,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2037,2237,2137,27 Feb 2025
721,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2084,2084,2084,05 Jun 2025
722,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2192,2392,2292,18 Jun 2025
723,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2565,2565,2565,11 Feb 2025
724,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2565,2565,2565,19 Mar 2025
725,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2573,2773,2673,19 Feb 2025
726,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2746,2946,2846,28 Oct 2024
727,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2807,3007,2907,13 Aug 2024
728,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2941,2941,2941,03 Sep 2024
729,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2987,3187,3087,14 Aug 2024
730,Chikmagalur,Chikkamagalore,Potato,Other,Local,1752,1952,1852,07 Jul 2025
731,Chikmagalur,Chikkamagalore,Potato,Other,Local,2043,2243,2143,19 Jul 2025
732,Chikmagalur,Chikkamagalore,Potato,Other,Ref grade-1,2678,2878,2778,03 Feb 2025
733,Kolar,Chintamani,Potato,Local,FAQ,2000,3500,3000,02 Jan 2025
734,Kalburgi,Kalburgi,Potato,Potato,FAQ,900,1200,1050,27 Jun 2025
735,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1200,1100,05 Apr 2025
736,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1200,1100,26 Apr 2025
737,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1200,1100,30 Sep 2024
738,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1300,1150,23 Dec 2024
739,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1800,1400,23 May 2025
740,Kalburgi,Kalburgi,Potato,Potato,FAQ,1100,1400,1250,09 Oct 2024
741,Kalburgi,Kalburgi,Potato,Potato,Local,1000,1300,1150,09 Jul 2025
742,Kolar,Kolar,Potato,Local,FAQ,1000,1500,1300,21 Feb 2025
743,Kolar,Kolar,Potato,Local,FAQ,1000,1500,1300,27 Apr 2025
744,Kolar,Kolar,Potato,Local,FAQ,1000,1800,1400,25 Feb 2025
745,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1500,11 Aug 2024
746,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1800,25 Apr 2025
747,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,05 Nov 2024
748,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,24 Sep 2024
749,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,29 Dec 2024
750,Kolar,Kolar,Potato,Local,FAQ,1500,3000,2300,14 Nov 2024
751,Kolar,Kolar,Potato,Local,FAQ,1500,3000,2400,16 Dec 2024
752,Kolar,Kolar,Potato,Local,FAQ,1500,3000,2400,23 Dec 2024
753,Kolar,Kolar,Potato,Local,FAQ,2000,2500,2300,06 Jun 2025
754,Kolar,Kolar,Potato,Local,FAQ,2000,2500,2300,23 Jun 2025
755,Kolar,Kolar,Potato,Local,FAQ,2000,3000,2600,11 Nov 2024
756,Kolar,Kolar,Potato,Local,Ref grade-1,1000,2000,1500,02 Feb 2025
757,Kolar,Malur,Potato,Potato,FAQ,1800,2200,1900,30 Dec 2024
758,Kolar,Malur,Potato,Potato,FAQ,1800,2200,2000,18 Jan 2025
759,Mangalore(Dakshin Kannad),Mangalore,Potato,Potato,FAQ,2000,2800,2400,19 May 2025
760,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1600,1900,1700,07 Apr 2025
761,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1600,1900,1800,05 Apr 2025
762,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,1800,2000,1900,24 Aug 2024
763,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,2400,2900,2700,31 Dec 2024
764,Mysore,Mysore (Bandipalya),Potato,Potato,Ref grade-1,1600,1800,1700,05 Jul 2025
765,Mysore,Nanjangud,Potato,Potato,FAQ,3333,4162,3703,15 Feb 2025
766,Bangalore,Ramanagara,Potato,Potato,FAQ,2000,2800,2400,05 Apr 2025
767,Bangalore,Ramanagara,Potato,Potato,FAQ,3600,4000,3800,05 Oct 2024
768,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,01 Jul 2025
769,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,27 Jun 2025
770,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2800,16 Apr 2025
771,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2800,23 May 2025
772,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3700,08 Jan 2025
773,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3700,12 Dec 2024
774,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3700,17 Dec 2024
775,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3700,24 Dec 2024
776,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3750,04 Nov 2024
777,Shimoga,Shimoga,Potato,Local,FAQ,3500,4000,3750,05 Dec 2024
778,Shimoga,Shimoga,Potato,Local,Local,2500,3000,2700,23 Jul 2025
779,Udupi,Udupi,Potato,Potato,FAQ,1500,2000,1800,23 Jun 2025
780,Udupi,Udupi,Potato,Potato,FAQ,1500,2200,2100,26 Mar 2025
781,Udupi,Udupi,Potato,Potato,FAQ,1600,2000,1900,12 Mar 2025
782,Udupi,Udupi,Potato,Potato,FAQ,1800,2200,2000,11 Jun 2025
783,Udupi,Udupi,Potato,Potato,FAQ,1800,2200,2000,13 Jun 2025
784,Udupi,Udupi,Potato,Potato,FAQ,1900,2000,2000,21 May 2025
785,Udupi,Udupi,Potato,Potato,FAQ,2100,2200,2200,12 May 2025
786,Udupi,Udupi,Potato,Potato,FAQ,2200,2300,2300,10 Jun 2025
787,Udupi,Udupi,Potato,Potato,FAQ,2400,2500,2500,11 Feb 2025
788,Udupi,Udupi,Potato,Potato,FAQ,2400,2600,2500,16 Jan 2025
789,Udupi,Udupi,Potato,Potato,FAQ,3400,3600,3500,24 Sep 2024
790,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2678,2878,2778,03 Jan 2025
791,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2678,2878,2778,14 Feb 2025
792,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2678,2878,2778,19 Dec 2024
793,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2774,2974,2874,18 Jan 2025
794,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2857,3057,2957,09 Sep 2024
795,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2931,3131,3031,03 Aug 2024
796,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,3031,3031,3031,21 Oct 2024
797,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,01 Jan 2025
798,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,05 Dec 2024
799,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,23 Jan 2025
800,Davangere,Davangere,Potato,Potato,FAQ,1800,2200,2000,04 Sep 2024
801,Davangere,Davangere,Potato,Potato,FAQ,1800,2200,2000,14 Aug 2024
802,Davangere,Davangere,Potato,Potato,FAQ,1800,2200,2000,18 Dec 2024
803,Davangere,Davangere,Potato,Potato,FAQ,1800,2500,2000,19 Mar 2025
804,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,13 May 2025
805,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,19 Feb 2025
806,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,20 Jun 2025
807,Davangere,Davangere,Potato,Potato,FAQ,2000,2800,2500,08 Apr 2025
808,Davangere,Davangere,Potato,Potato,FAQ,2200,2600,2400,02 Aug 2024
809,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3500,3000,03 Oct 2024
810,Kolar,Gowribidanoor,Potato,Potato,FAQ,1500,2000,1800,04 Jun 2025
811,Chamrajnagar,Gundlupet,Potato,Chandermukhi,FAQ,2300,2500,2300,04 Nov 2024
812,Chamrajnagar,Gundlupet,Potato,Chandermukhi,FAQ,3000,3000,3000,28 Oct 2024
813,Hassan,Hassan,Potato,Potato,FAQ,600,1800,1100,10 Jun 2025
814,Hassan,Hassan,Potato,Potato,FAQ,900,1800,1400,02 May 2025
815,Hassan,Hassan,Potato,Potato,FAQ,1000,1800,1500,29 Sep 2024
816,Hassan,Hassan,Potato,Potato,FAQ,1200,2600,2300,27 Feb 2025
817,Hassan,Hassan,Potato,Potato,FAQ,1600,3200,2600,07 Oct 2024
818,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1800,1800,1800,21 Sep 2024
819,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,900,1600,1300,24 Feb 2025
820,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,1600,1550,16 May 2025
821,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,2000,1700,09 Apr 2025
822,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1800,2000,1900,10 Jun 2025
823,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2000,2100,2050,06 Feb 2025
824,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2400,2800,2600,03 Dec 2024
825,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2400,2800,2600,10 Oct 2024
826,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,3100,2800,26 Oct 2024
827,Dharwad,Hubli (Amaragol),Potato,Potato,Local,1300,1700,1550,19 Jul 2025
828,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1200,1100,16 Aug 2024
829,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1300,1150,08 Nov 2024
830,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1300,1150,11 Sep 2024
831,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,01 Mar 2025
832,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1400,1200,26 Mar 2025
833,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1500,1250,22 Apr 2025
834,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,13000,1250,07 Nov 2024
835,Kalburgi,Kalburgi,Potato,Potato,FAQ,1100,1400,1250,04 Jan 2025
836,Kalburgi,Kalburgi,Potato,Potato,FAQ,1200,1300,1250,16 Nov 2024
837,Kalburgi,Kalburgi,Potato,Potato,FAQ,1200,1400,1300,13 Feb 2025
838,Kolar,Kolar,Potato,Local,FAQ,1000,1200,1100,20 Aug 2024
839,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1600,09 Oct 2024
840,Kolar,Kolar,Potato,Local,FAQ,1000,2500,2000,26 Aug 2024
841,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,17 Jun 2025
842,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2084,2084,2084,27 May 2025
843,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2465,2665,2565,02 Jun 2025
844,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2478,2878,2778,05 Dec 2024
845,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2515,2715,2615,05 Oct 2024
846,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2579,2779,2679,12 Feb 2025
847,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2603,2803,2703,01 Oct 2024
848,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2628,2828,2728,21 Dec 2024
849,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2735,2935,2835,16 Dec 2024
850,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2824,3024,2924,07 Oct 2024
851,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,2941,2941,2941,09 Jan 2025
852,Chikmagalur,Chikkamagalore,Potato,Other,FAQ,3031,3031,3031,29 Oct 2024
853,Chikmagalur,Chikkamagalore,Potato,Other,Local,2084,2084,2084,25 Jul 2025
854,Chikmagalur,Chikkamagalore,Potato,Other,Local,2174,2174,2174,17 Jul 2025
855,Chikmagalur,Chikkamagalore,Potato,Other,Local,2252,2252,2252,09 Jul 2025
856,Chikmagalur,Chikkamagalore,Potato,Other,Ref grade-1,2778,2778,2778,04 Feb 2025
857,Davangere,Davangere,Potato,Potato,FAQ,1500,2000,1800,04 Jan 2025
858,Davangere,Davangere,Potato,Potato,FAQ,1500,2000,1800,18 Feb 2025
859,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,11 Feb 2025
860,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,12 Nov 2024
861,Davangere,Davangere,Potato,Potato,FAQ,1600,2000,1800,21 Dec 2024
862,Davangere,Davangere,Potato,Potato,FAQ,1800,2000,1900,06 Dec 2024
863,Davangere,Davangere,Potato,Potato,FAQ,1800,2500,2000,21 Jan 2025
864,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,06 Feb 2025
865,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,16 May 2025
866,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,19 Sep 2024
867,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,23 May 2025
868,Davangere,Davangere,Potato,Potato,FAQ,2000,2500,2200,24 Jun 2025
869,Davangere,Davangere,Potato,Potato,FAQ,2000,2800,2500,15 May 2025
870,Davangere,Davangere,Potato,Potato,FAQ,2000,2800,2500,17 Apr 2025
871,Davangere,Davangere,Potato,Potato,Local,2000,2500,2200,08 Jul 2025
872,Davangere,Davangere,Potato,Potato,Ref grade-1,1500,2500,2000,04 Feb 2025
873,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3000,2750,20 Jan 2025
874,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3100,2800,24 Sep 2024
875,Bangalore,Doddaballa Pur,Potato,Local,FAQ,2500,3100,2800,26 Sep 2024
876,Hassan,Hassan,Potato,Potato,FAQ,900,1600,1400,23 Jun 2025
877,Hassan,Hassan,Potato,Potato,FAQ,900,1800,1500,28 Feb 2025
878,Hassan,Hassan,Potato,Potato,Local,700,1800,800,05 Jul 2025
879,Hassan,Hassan,Potato,Potato,Local,700,1900,1800,15 Jul 2025
880,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,1800,2100,1950,06 Feb 2025
881,Dharwad,Hubli (Amaragol),Potato,Other,FAQ,2200,2800,2500,07 Feb 2025
882,Dharwad,Hubli (Amaragol),Potato,Other,Ref grade-1,1600,1700,1650,04 Feb 2025
883,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1300,1600,1450,08 Feb 2025
884,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,1900,1700,14 Feb 2025
885,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1500,2200,1800,04 Apr 2025
886,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1600,2000,1850,26 Apr 2025
887,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1700,2100,1900,19 Feb 2025
888,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,1800,1900,1850,31 May 2025
889,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2500,2700,2600,12 Dec 2024
890,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2600,2800,2600,21 Oct 2024
891,Dharwad,Hubli (Amaragol),Potato,Potato,FAQ,2700,3100,2900,12 Aug 2024
892,Kalburgi,Kalburgi,Potato,Potato,FAQ,1000,1500,1250,12 May 2025
893,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1400,18 Sep 2024
894,Kolar,Kolar,Potato,Local,FAQ,1000,2000,1600,23 Feb 2025
895,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,05 Sep 2024
896,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1700,07 Aug 2024
897,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1800,15 Jun 2025
898,Kolar,Kolar,Potato,Local,FAQ,1500,2000,1800,27 Oct 2024
899,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,21 Oct 2024
900,Kolar,Kolar,Potato,Local,FAQ,1500,2500,2000,27 Aug 2024
901,Kolar,Kolar,Potato,Local,FAQ,1500,3000,2400,15 Nov 2024
902,Kolar,Kolar,Potato,Local,FAQ,1500,3000,2600,30 Jun 2025
903,Kolar,Kolar,Potato,Local,FAQ,1500,4000,2900,19 Nov 2024
904,Kolar,Kolar,Potato,Local,FAQ,2000,2500,2300,09 Jun 2025
905,Kolar,Kolar,Potato,Local,FAQ,2000,2500,2300,13 Jun 2025
906,Kolar,Kolar,Potato,Local,FAQ,2000,3000,2500,04 Aug 2024
907,Kolar,Malur,Potato,Potato,FAQ,1600,2000,1800,28 Apr 2025
908,Kolar,Malur,Potato,Potato,FAQ,1800,2200,2072,21 Dec 2024
909,Mysore,Mysore (Bandipalya),Potato,Potato,FAQ,2200,2800,2500,28 Oct 2024
910,Mysore,Nanjangud,Potato,Potato,FAQ,3333,4167,3703,06 Jan 2025
911,Bangalore,Ramanagara,Potato,Potato,FAQ,3500,4000,3800,04 Dec 2024
912,Shimoga,Shimoga,Potato,Local,FAQ,2400,2600,2500,12 Sep 2024
913,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,12 Jun 2025
914,Shimoga,Shimoga,Potato,Local,FAQ,2500,3000,2700,18 Mar 2025
